Traffic_Light_State,Weather_Condition,Traffic_Condition,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h
Green,Fog,High,4.073.719.673.516.690,-7.390.429.715.081.170,232,3.117.867.378.139.340,9.206.030.033.344.880,0,-2.525.482.774.076.460,92,26,44.258.909.979.993.000,"2906214272341310000,00%"
Red,Fog,High,4.071.339.651.111.970,-7.385.200.895.536.400,218,5.407.900.288.400.690,5.249.588.573.785.190,0,-6.501.268.299.231.730,71,7,1.796.482.813.525.270,"592647407009891000,00%"
Red,Rain,High,40.690.473.739.129.500,-7.397.280.138.607.870,57,7.834.660.844.722.820,10.343.836.706.850.900,1,38.695.271.969.142.700,65,34,4.273.933.685.083.760,"1174513768817810000,00%"
Green,Rain,High,40.877.361.301.786.800,-7.372.960.085.038.330,52,7.267.421.356.190.090,8.263.390.703.511.470,0,7.093.411.006.019.190,40,48,13.118.073.333.454.100,"2129749814445240000,00%"
Green,Rain,High,4.060.993.112.036.770,-7.390.914.507.367.420,197,7.504.964.465.908.130,8.057.636.222.919.480,0,7.136.513.232.893.010,17,33,144.469.010.052.026,"646779425863859000,00%"
Red,Rain,High,4.076.596.811.933.280,-739.510.657.177.867,120,2.845.428.068.369.020,8.891.625.854.493.430,1,-12.026.269.994.859.000,73,41,38.863.280.159.954.800,"1731470752494300000,00%"
Green,Rain,High,406.900.854.463.809,-7.383.530.903.753.840,287,52.860.873.480.089.800,3.613.426.324.812.140,0,-5.450.682.248.436.700,90,25,10.060.884.505.356.600,"2122748639245940000,00%"
Green,Snow,High,40.646.943.502.984.300,-7.371.582.237.527.750,284,7.029.178.890.541.980,9.842.862.842.720.130,0,-9.866.476.533.532.100,43,27,6.899.947.647.592.740,"2937110103011150000,00%"
Green,Fog,High,4.087.991.608.617.800,-7.398.463.202.553.810,11,9.319.160.749.520.840,2.247.702.105.867.730,0,4.612.918.124.683.300,99,44,23.592.703.078.060.300,"201084252155827000,00%"
Green,Snow,High,4.080.872.296.900.460,-7.386.498.144.465.450,271,23.190.552.504.015.500,45.034.081.468.371.200,1,6.718.498.809.079.940,1,40,24.508.622.861.703.300,"213397715279485000,00%"
Red,Snow,High,4.063.494.665.055.740,-7.376.998.248.459.250,225,7.380.382.207.885.740,4.980.791.603.476.340,0,5.561.346.598.810.420,10,9,15.878.453.447.625.200,"2010191058898240000,00%"
Red,Clear,High,40.715.459.194.951.700,-7.378.625.345.617.160,280,41.071.266.649.092.300,9.641.704.433.896.120,0,3.721.637.036.074.440,44,47,49.750.633.672.089.300,"186274997036574000,00%"
Yellow,Fog,High,4.068.895.748.109.200,-7.391.502.009.404.960,73,52.216.488.223.446.300,8.316.622.838.296.280,0,5.175.470.843.898.510,88,0,4.947.243.931.868.530,"1662655156112170000,00%"
Green,Fog,High,4.088.394.825.410.710,-7.395.429.461.937.060,299,1.681.106.266.575.570,6.480.429.861.209.920,0,-15.102.135.860.191.800,49,20,28.505.238.479.526.800,"986047137938683000,00%"
Green,Clear,High,4.068.549.877.033.830,-7.395.575.313.900.630,224,44.028.350.997.464.200,5.679.673.116.022.700,0,-6.701.621.670.944.910,23,30,39.000.108.848.243.800,"1992486507653920000,00%"
Green,Snow,High,40.738.816.847.077.500,-7.398.731.052.988.880,293,32.265.040.983.399.100,9.277.027.574.037.830,1,-939.420.733.352.309,64,0,1.625.534.163.690.790,"185983666270044000,00%"
Green,Snow,High,40.728.536.821.239.800,-7.385.422.661.291.000,286,5.155.835.982.917.330,9.964.162.215.486.090,0,-6.258.694.423.309.450,34,21,41.947.877.790.108.200,"210285774326932000,00%"
Green,Fog,High,4.076.102.610.159.570,-7.372.598.072.831.250,73,5.235.374.417.868.680,9.355.531.179.975.520,0,6.243.031.969.361.730,99,22,18.991.532.775.001.000,"1198957074569040000,00%"
Yellow,Snow,High,408.870.888.492.091,-7.372.519.380.384.810,14,1.870.803.741.213.160,4.296.812.517.690.880,1,-8.008.142.499.141.730,11,27,24.371.706.940.037.800,"2162712442380680000,00%"
Yellow,Snow,High,40.852.932.854.711.600,-7.381.839.546.522.250,265,2.433.924.682.493.920,8.391.090.395.688.510,0,-9.375.404.170.263.130,88,1,44.880.392.159.090.900,"742450435387041000,00%"
Green,Clear,High,4.064.387.109.029.080,-7.379.037.939.565.540,56,6.582.208.947.578.660,8.097.585.857.974.060,0,3.304.622.027.070.540,64,5,4.996.357.758.161.290,"2980722998003190000,00%"
Green,Snow,High,40.804.200.223.789.300,-738.401.920.712.093,115,16.839.692.438.276.100,9.373.114.037.263.390,0,8.600.552.699.642.050,23,6,6.886.910.368.114.080,"531466555836869000,00%"
Red,Fog,High,40.663.336.176.926.300,-7.391.330.114.985.530,234,4.386.167.334.021.740,986.140.278.342.933,0,5.673.520.388.654.960,92,24,17.010.342.995.350.200,"1490141117461780000,00%"
Red,Fog,High,40.769.751.027.371.500,-7.372.110.691.296.400,246,12.333.480.518.893.000,92.514.586.669.118,0,3.337.468.638.717.130,8,26,24.297.568.595.240.000,"660581206085834000,00%"
Red,Snow,High,4.069.700.564.791.230,-739.469.249.441.207,13,8.567.387.828.650.010,7.726.564.970.712.400,0,9.791.522.224.280.980,93,23,19.821.755.123.249.800,"831187675312907000,00%"
Green,Rain,High,4.086.917.162.786.170,-7.391.349.431.519.170,176,761.008.085.232.942,9.537.055.178.754.480,0,9.954.349.587.343.630,19,23,28.601.136.951.166.700,"1853105259484950000,00%"
Yellow,Clear,High,40.693.590.466.802.100,-7.379.771.272.493.750,95,18.249.238.556.951.500,20.996.498.078.658.200,0,5.647.806.268.134.100,2,39,27.272.682.649.063.300,"2153633028069750000,00%"
Red,Snow,High,40.808.622.093.881.300,-7.390.709.838.537.560,236,6.690.866.594.654.270,15.460.302.206.921.800,0,4.806.257.421.431.780,63,18,11.006.733.809.347.900,"1758124269083390000,00%"
Yellow,Clear,High,4.073.631.266.465.190,-7.385.978.460.521.580,147,11.623.676.967.032.200,9.309.049.154.429.520,0,-41.926.807.375.389.100,89,29,22.828.406.462.416.800,"633851173984508000,00%"
Yellow,Snow,High,4.060.376.136.260.490,-739.723.485.476.488,155,21.143.661.842.276.100,975.150.923.158.531,0,6.877.609.843.965.420,95,4,49.518.065.172.422.700,"2429151747598040000,00%"
Red,Clear,High,4.073.115.648.118.960,-7.375.293.435.630.360,81,6.887.961.408.691.370,4.407.587.049.607.930,1,4.610.746.711.601.170,67,2,2.827.010.618.406.010,"824483642796573000,00%"
Green,Snow,High,40.876.865.246.607.100,-7.388.000.512.981.030,255,24.749.644.051.236.400,6.679.166.610.157.540,0,14.439.675.082.052.100,60,12,12.067.574.823.359.700,"120028410384844000,00%"
Red,Snow,High,4.073.049.578.763.180,-7.389.162.137.769.940,56,4.760.108.465.146.750,9.000.809.423.653.780,0,20.598.219.510.165.000,3,43,44.496.075.873.289.000,"2964229425369900000,00%"
Green,Fog,High,4.073.054.186.257.140,-7.371.439.598.151.090,204,7.228.233.218.705.780,13.803.503.943.372.700,0,7.362.509.224.118.230,49,6,19.125.228.028.249.200,"2716689699979300000,00%"
Yellow,Snow,High,40.755.200.218.779.600,-7.398.205.755.853.440,276,4.472.670.945.542.270,750.917.986.349.789,0,-2.987.596.782.652.570,83,48,3.959.984.008.939.230,"507585382167468000,00%"
Green,Rain,High,40.717.797.581.585.200,-7.395.396.622.756.070,12,3.348.544.461.921.520,9.208.795.275.754.940,0,4.528.701.861.430.080,58,17,13.255.482.489.075.200,"508356070315099000,00%"
Green,Snow,High,4.070.539.299.893.220,-7.382.581.598.558.790,258,4.610.589.016.548.360,46.184.200.746.738,0,-7.381.467.114.980.550,31,26,34.315.496.812.552.100,"1898746891219800000,00%"
Yellow,Rain,High,40.740.609.538.499.400,-7.372.645.595.726.930,50,7.649.639.096.987.440,51.086.794.345.997.500,1,-3.941.163.102.241.940,64,14,48.819.283.857.759.600,"617460327301759000,00%"
Red,Clear,High,40.808.918.127.924.000,-7.397.215.632.762.800,243,1.877.766.727.045.600,3.633.253.143.866.240,0,-1.786.643.736.468.460,17,20,43.657.967.010.993.400,"2054894649255240000,00%"
Yellow,Snow,High,40.771.244.586.071.100,-7.372.864.968.022.650,146,7.564.113.951.555.120,20.999.440.896.506.000,1,5.534.776.920.632.180,98,15,47.351.708.390.575.500,"2997309109646080000,00%"
Yellow,Fog,High,4.070.087.341.877.580,-7.380.459.282.818.670,238,18.507.264.706.515.300,1.160.467.710.480.580,0,7.445.034.512.281.700,9,38,45.449.864.557.048.300,"1159426568836230000,00%"
Green,Snow,High,4.067.270.710.156.570,-7.383.752.941.451.090,182,12.364.228.885.211.100,2.306.227.864.544.210,0,44.785.729.540.329.700,10,31,4.905.286.658.880.570,"205493720124846000,00%"
Yellow,Rain,High,4.077.592.546.830.460,-737.057.105.349.768,89,107.753.704.319.958,3.647.811.109.770.800,0,-9.213.470.034.276.970,19,42,13.649.437.997.781.200,"191634551647016000,00%"
Red,Rain,High,4.086.493.733.023.650,-7.393.477.405.871.330,113,285.149.956.513.012,712.132.812.317.127,1,-6.382.984.163.513.830,25,31,30.510.991.427.282.100,"1667906096924250000,00%"
Red,Snow,High,4.066.844.155.867.240,-7.381.323.599.220.790,225,6.801.842.179.656.010,8.308.514.437.541.730,0,-5.810.504.661.972.590,72,27,17.204.289.848.799.400,"93100148249100700,00%"
Yellow,Snow,High,4.071.317.079.674.680,-739.959.881.084.863,258,19.914.206.581.146.700,56.733.831.448.884.700,0,-9.778.148.627.003.540,23,4,5.732.850.331.576.090,"1423491688700560000,00%"
Red,Snow,High,4.072.162.002.112.700,-7.392.651.739.665.670,163,154.537.385.704.169,7.879.140.305.352.310,0,7.254.520.725.633.120,88,48,3.612.870.184.472.330,"2354235920037320000,00%"
Red,Snow,High,4.062.770.821.369.170,-7.388.757.747.349.850,32,39.480.482.699.528.700,947.018.410.364.765,0,-8.734.534.877.854.890,79,37,28.164.529.966.018.500,"2525979643162210000,00%"
Green,Rain,High,4.084.718.897.058.980,-7.397.846.008.828.310,248,3.937.149.026.561.630,1.644.037.795.887.590,0,9.980.404.341.550.220,44,22,13.689.995.820.044.300,"1166623356492730000,00%"
Yellow,Rain,High,4.074.333.241.255.730,-7.396.771.574.570.220,187,5.352.341.624.025.690,9.156.789.853.687.580,0,1.565.604.420.240.550,44,42,4.490.452.657.537.840,"2722680852309600000,00%"
Red,Fog,High,40.780.228.081.213.300,-7.374.625.486.813.880,230,56.564.507.665.474.600,3.635.492.680.974.480,0,-9.488.712.936.783.500,64,11,7.295.203.428.493.590,"1443336281112980000,00%"
Yellow,Snow,High,4.084.675.590.721.380,-7.391.212.254.266.620,254,14.562.958.348.882.100,7.188.242.576.194.510,0,-9.518.469.371.122.000,28,47,26.454.494.088.103.600,"935418290263867000,00%"
Yellow,Clear,High,40.752.600.008.747.100,-737.972.275.133.287,167,4.728.470.135.990.440,9.051.235.321.751.090,0,14.576.313.689.884.800,5,38,5.959.089.952.241.010,"1841602298364010000,00%"
Yellow,Snow,High,4.083.510.528.350.360,-7.390.701.346.320.160,267,29.513.286.334.499.100,4.986.942.102.738.580,0,-23.765.030.225.576.900,57,19,32.623.251.589.848.500,"1585093361349310000,00%"
Green,Fog,High,407.704.096.081.429,-7.383.963.870.637.370,206,18.856.619.469.507.400,7.524.380.759.018.940,1,-40.953.229.374.076.300,11,46,34.087.696.930.086.300,"2652837557841570000,00%"
Yellow,Fog,High,4.083.562.056.401.310,-738.055.347.414.328,43,835.483.649.210.628,809.586.846.464.575,0,6.536.836.631.560.840,46,48,4.489.402.347.767.770,"2766146422272970000,00%"
Red,Rain,High,4.071.350.410.528.930,-7.397.460.387.903.570,202,12.857.793.827.652.600,7.125.413.962.072.770,0,6.518.590.509.074.850,77,33,47.067.899.373.563.500,"206084507041565000,00%"
Green,Rain,High,4.088.324.262.609.890,-7.383.618.204.342.320,253,6.997.656.426.615.940,5.136.569.731.886.520,0,-5.920.781.013.662.490,88,5,1.618.192.105.027.790,"560262689273132000,00%"
Red,Rain,High,4.086.438.347.917.990,-7.395.838.455.497.320,274,29.906.190.798.036.200,9.026.598.984.977.500,0,964.929.706.738.531,95,34,16.362.144.023.316.800,"140942315161544000,00%"
Yellow,Rain,High,4.060.493.438.180.480,-7.382.265.983.986.250,44,44.517.916.087.384.600,8.632.980.533.599.450,0,-39.148.401.387.286.200,3,25,34.672.346.201.648.500,"2444617686720280000,00%"
Yellow,Rain,High,4.077.657.550.408.200,-739.253.519.082.006,257,7.151.826.609.249.320,28.941.243.880.434.500,0,9.030.786.962.312.850,58,17,2.018.075.206.849.740,"698110799902830000,00%"
Red,Snow,High,4.077.904.564.856.940,-739.153.697.466.806,22,4.531.782.146.472.660,7.324.397.387.333.070,1,7.795.842.893.040.150,90,17,1.933.218.336.317.650,"16842383790520500,00%"
Green,Fog,High,406.188.507.562.916,-7.388.858.101.361.170,293,4.545.171.078.554.880,652.485.032.899.281,0,-3.091.262.371.279.430,66,49,45.677.425.091.503.600,"2050454125575540000,00%"
Green,Fog,High,4.060.009.183.670.370,-7.384.989.803.277.200,278,28.518.028.431.677.200,28.718.676.584.253.300,0,2.519.699.050.153.050,41,39,3.705.954.681.441.090,"1095554177445720000,00%"
Yellow,Snow,High,4.084.319.358.164.450,-7.391.036.885.630.460,75,31.677.685.831.988.200,9.250.525.311.080.400,0,-6.701.307.548.693.730,97,31,3.775.833.491.193.730,"296257210022345000,00%"
Green,Fog,High,4.085.081.207.536.570,-7.383.412.733.434.180,292,5.945.207.757.991.670,5.156.113.099.424.920,0,2.647.629.185.325.570,59,34,2.983.388.109.699.600,"1572293372550100000,00%"
Red,Clear,High,40.733.805.328.403.000,-7.384.885.775.955.380,215,3.924.161.422.965.980,29.919.030.649.414.700,0,-4.981.995.015.297.520,58,13,1.618.919.383.719.950,"175875314941469000,00%"
Yellow,Snow,High,408.198.238.220.313,-7.376.918.237.675.120,253,5.974.660.145.760.080,905.367.424.606.657,0,4.553.594.989.536.680,99,45,3.546.621.929.362.630,"191941941930657000,00%"
Yellow,Clear,High,406.077.147.150.711,-7.374.091.051.056.170,297,7.801.290.238.592.880,8.326.241.439.501.680,0,-6.235.858.112.695.490,28,9,24.693.310.823.065.600,"2980212395130650000,00%"
Green,Clear,High,4.081.558.569.145.210,-7.378.613.338.613.780,270,7.795.779.564.182.000,5.862.122.881.471.960,0,-9.073.586.810.572.630,96,1,4.415.977.093.237.070,"2293844452197360000,00%"
Green,Rain,High,4.063.689.938.760.410,-7.372.442.842.169.810,95,10.438.454.274.387.500,6.470.547.307.334.030,0,4.359.121.924.964.010,39,31,2.435.228.649.612.400,"2176200034726420000,00%"
Yellow,Snow,High,4.060.585.272.434.700,-739.270.704.487.509,67,78.261.507.320.850.500,46.389.211.598.274.400,0,-3.149.576.232.105.710,50,44,38.868.491.659.237.600,"207594634059315000,00%"
Green,Rain,High,40.720.008.152.510.900,-7.393.516.757.241.290,141,3.317.366.066.975.620,9.378.414.582.919.470,0,-78.415.030.843.626,17,41,17.124.372.485.395.900,"562657557811918000,00%"
Red,Rain,High,4.076.553.340.209.780,-7.388.313.786.962.870,50,8.577.491.030.635.170,2.239.656.928.102.920,0,-7.282.485.866.636.480,3,47,48.265.207.014.613.700,"2064369147040210000,00%"
Green,Snow,High,4.062.590.538.798.920,-739.718.897.094.805,264,50.588.270.635.152.500,8.020.344.600.879.670,0,-7.653.019.101.365.530,39,26,24.238.766.712.923.700,"73475092971495300,00%"
Yellow,Rain,High,4.077.591.062.093.090,-7.391.082.722.583.870,34,7.180.748.883.612.710,9.892.023.463.504.290,0,-23.627.105.217.359.400,6,48,2.604.893.090.391.390,"1869065840217190000,00%"
Red,Clear,High,4.074.129.180.355.950,-7.384.148.434.294.200,17,62.899.772.864.014.300,9.161.402.482.189.200,0,8.237.583.374.788.640,12,44,785.985.281.070.306,"261530216698254000,00%"
Green,Fog,High,4.074.033.136.667.600,-7.372.334.091.861.510,182,6.367.202.104.047.560,7.529.948.693.048.050,0,980.382.728.120.408,84,22,20.982.297.811.042.400,"1112423129358300000,00%"
Red,Clear,High,40.880.693.996.724.500,-7.395.870.350.088.190,95,6.346.348.013.435.260,8.691.552.717.071.040,0,-2.899.601.678.860.470,72,11,16.868.370.605.723.400,"2542066232298100000,00%"
Yellow,Clear,High,4.082.767.688.729.710,-7.388.864.349.047.430,118,2.641.595.955.295.360,8.791.615.527.225.070,0,-4.433.846.229.166.130,67,0,4.667.478.901.906.680,"639684616806400000,00%"
Green,Rain,High,4.061.635.240.692.060,-739.895.004.415.122,246,23.076.437.391.773.700,39.832.625.086.605.500,0,-41.765.427.040.919.600,37,29,7.233.500.736.994.140,"1791057190148230000,00%"
Yellow,Rain,High,40.660.805.316.937.400,-739.392.899.027.632,242,6.186.963.711.072.560,8.237.527.920.587.170,0,-8.425.448.665.368.160,18,23,2.891.034.685.063.090,"2653235013393940000,00%"
Yellow,Snow,High,40.656.090.788.506.800,-7.391.796.652.287.120,222,7.061.329.035.096.890,6.736.210.966.433.150,0,-6.061.938.207.706.770,46,37,32.498.046.098.128.500,"124336929799965000,00%"
Yellow,Rain,High,4.076.133.546.108.160,-7.389.321.293.753.140,178,6.042.403.392.767.750,8.494.558.998.783.650,0,-3.448.545.351.455.070,57,8,2.595.630.790.785.300,"1035052043191600000,00%"
Red,Snow,High,4.064.915.325.404.020,-7.387.327.539.547.470,235,5.123.787.256.432.470,5.144.183.771.456.350,0,352.224.019.426.433,88,29,1.196.656.026.153.190,"226794266867356000,00%"
Green,Fog,High,40.709.538.319.976.100,-7.392.511.139.079.960,82,8.391.078.760.612.570,9.564.158.686.981.960,0,-8.738.877.946.745.060,97,15,14.510.365.948.244.600,"2389331387633740000,00%"
Red,Rain,High,4.074.829.334.430.890,-7.395.189.436.932.760,117,13.860.426.109.400.100,5.622.125.280.494.090,0,9.410.240.711.263.750,33,22,1.779.675.324.071.650,"1757765255078410000,00%"
Red,Clear,High,4.078.322.033.918.620,-7.371.675.126.459.380,204,21.920.009.317.848.800,974.613.910.714.479,0,-36.942.222.724.280.600,45,19,21.274.462.366.942.100,"106102255259731000,00%"
Green,Snow,High,40.604.172.426.988.100,-7.378.721.804.292.790,184,7.970.651.391.031.500,8.027.996.193.835.560,0,-42.985.057.993.783.000,3,7,5.991.269.977.802.840,"1075397576570150000,00%"
Green,Snow,High,4.079.838.956.399.380,-7.385.257.047.449.110,85,576.562.929.900.748,8.531.252.671.937.160,0,44.641.388.495.432.000,18,12,4.476.608.889.367.790,"1373071822692560000,00%"
Green,Fog,High,4.089.241.912.113.590,-7.382.656.557.541.370,205,4.723.930.641.925.330,55.972.119.620.020.200,0,-783.409.768.082.568,58,14,29.614.621.808.194.700,"1170612050468660000,00%"
Red,Fog,High,4.083.497.162.301.210,-7.399.573.542.542.530,142,20.098.107.844.593.300,8.788.753.572.675.180,0,8.071.790.472.144.440,90,12,40.807.627.184.672.800,"2292395033922570000,00%"
Yellow,Fog,High,4.060.808.791.829.310,-7.397.568.292.255.790,41,40.176.845.030.817.700,6.016.763.326.032.510,1,-8.381.569.713.353.960,14,31,430.233.225.801.762,"912714911100097000,00%"
Red,Snow,High,40.654.588.252.856.200,-7.373.322.735.012.180,232,63.620.265.289.204.700,1.297.631.722.418.730,0,-16.140.943.665.030.100,57,8,49.543.335.688.561.100,"168835495769307000,00%"
Yellow,Fog,High,4.084.122.672.471.210,-7.381.502.455.652.940,244,26.816.419.125.377.300,788.658.423.907.391,0,-35.798.423.157.088.900,80,7,3.057.731.246.142.940,"5540099984766050000,00%"
Green,Clear,High,4.062.616.999.537.070,-7.385.828.071.209.500,228,32.618.763.075.795.800,3.250.386.147.727.100,0,-4.726.125.908.931.910,40,32,8.403.785.161.082.560,"111114521007792000,00%"
Red,Fog,High,4.069.757.690.514.660,-7.385.032.960.056.900,159,6.363.447.653.535.460,5.380.978.305.611.630,0,-20.238.678.902.155.100,22,12,49.774.370.673.675.700,"158794354519867000,00%"
Yellow,Clear,High,4.072.120.768.365.850,-7.370.314.473.978.260,136,16.838.256.514.919.700,613.961.242.904.268,0,-485.063.845.178.731,95,37,1.560.627.351.171.610,"581431077029965000,00%"
Yellow,Clear,High,408.368.794.473.568,-7.370.715.479.104.550,194,2.156.827.502.467.200,8.330.526.861.339.170,0,-5.670.965.188.958.920,54,38,44.712.201.437.744,"211140935401849000,00%"
Green,Rain,High,40.741.683.979.972.100,-7.371.749.631.153.080,142,7.889.325.129.467.320,49.339.753.465.187.000,1,-3.175.781.344.125.830,50,26,10.925.613.630.362.400,"1333673065273080000,00%"
Red,Fog,High,40.898.233.789.664.000,-7.374.735.182.696.620,294,31.498.881.087.157.500,14.453.751.117.307.400,0,-7.932.088.207.020.950,59,10,5.286.960.754.388.090,"2551751497506090000,00%"
Green,Fog,High,4.063.822.081.625.120,-7.373.221.148.640.930,215,55.063.061.731.591.700,2.979.492.562.225.420,0,7.087.915.108.109.870,25,33,2.085.812.827.163.470,"15467420176948600,00%"
Red,Fog,High,4.067.333.303.193.720,-7.375.150.364.496.890,63,24.849.716.439.979.000,8.305.890.084.740.200,0,4.729.499.390.144.540,82,36,12.656.647.910.756.600,"6060029644411910000,00%"
Green,Rain,High,4.061.464.150.121.100,-739.162.090.902.754,199,6.054.843.006.897.950,973.655.751.891.216,0,-552.784.272.042.582,95,24,16.761.320.196.667.500,"604889634265645000,00%"
Green,Clear,High,4.087.114.009.854.790,-739.670.046.862.882,116,747.828.487.461.223,712.433.323.940.894,0,-12.901.693.915.735.300,94,19,2.053.198.019.262.360,"1428123058486560000,00%"
Yellow,Rain,High,406.020.411.444.645,-7.372.803.713.052.150,249,3.059.631.934.285.570,20.568.554.189.871.600,0,9.212.414.896.784.530,46,33,4.628.447.590.857.810,"6245210624143200,00%"
Green,Fog,High,4.064.433.138.586.570,-738.343.588.095.705,269,31.833.555.209.434.900,363.372.479.097.319,0,-14.258.590.539.145.400,16,41,49.723.739.484.568.400,"1464195870781870000,00%"
Green,Fog,High,4.082.271.976.085.170,-7.394.745.095.857.090,250,7.713.550.006.767.570,9.901.713.105.129.460,0,8.988.895.005.438.650,76,12,46.427.134.301.612.700,"2236503764906660000,00%"
Yellow,Snow,High,4.079.094.503.886.690,-7.396.020.262.382.200,124,58.792.974.109.061.400,6.530.816.588.186.150,1,-6.135.839.971.335.730,41,46,26.945.585.925.774.100,"738385217441972000,00%"
Yellow,Snow,High,4.078.006.709.143.010,-7.370.977.012.548.970,270,7.097.091.127.618.130,22.741.598.021.827.200,0,5.645.599.286.414.920,81,43,14.942.714.899.665.600,"117563659261970000,00%"
Green,Rain,High,4.062.438.354.696.480,-7.383.636.932.713.790,211,6.615.027.592.137.750,8.783.975.967.706.690,0,3.371.950.560.036.630,29,39,3.146.626.161.813.750,"1540564582952080000,00%"
Green,Fog,High,4.075.448.044.976.160,-7.383.741.374.492.850,107,13.897.333.263.037.700,7.536.792.108.872.920,0,8.333.866.328.310.830,5,48,2.496.372.101.844.540,"1234880138367690000,00%"
Red,Clear,High,40.738.235.506.792.800,-7.376.378.221.771.600,181,28.880.403.086.189.900,9.577.905.930.157.080,0,36.649.803.079.711.200,30,4,15.570.166.986.092.900,"1441591011949600000,00%"
Green,Snow,High,40.656.762.678.448.800,-7.394.765.910.255.680,218,10.501.695.127.830.800,5.884.161.040.568.590,0,1.819.389.142.971.350,81,38,1.772.195.033.425.980,"277579073148332000,00%"
Yellow,Rain,High,4.087.158.909.447.860,-7.384.222.009.553.560,200,14.596.931.157.884.900,8.919.579.095.603.360,0,-5.299.235.836.669.260,65,19,9.111.583.031.979.900,"252887433675863000,00%"
Green,Fog,High,4.066.309.059.547.820,-7.373.841.680.355.680,141,16.074.459.725.404.500,3.618.461.682.298.330,0,8.439.922.311.060.840,24,0,4.110.880.286.601.030,"957389084035289000,00%"
Red,Snow,High,408.117.225.253.997,-7.397.696.889.057.020,280,30.102.142.063.613.000,5.479.801.298.883.880,1,5.266.610.624.676.150,12,25,3.732.570.952.338.640,"2847610236216130000,00%"
